L1,L2-3,L4,L5,L6,genes
4.7862e-05,6.3182e-05,2.5903e-05,8.7622e-05,5.4512e-05,Adgrb2
3.9208e-05,4.5032e-05,1.7096e-05,4.928e-05,5.0228e-05,Adgrl1
0.00042927,0.00035323,0.00043353,0.00034635,0.00052589,Aldh6a1
9.4835e-05,0.00010583,0.00010792,0.00012941,9.0316e-05,Map1lc3a
0.00053777,0.00047495,0.00064859,0.00069652,0.00062971,Pdk2
0.00014007,0.00016155,0.00026286,0.0001439,0.00016213,Fam49b
7.9525e-05,0.00011664,0.00010371,0.0001495,9.7436e-05,Lpp
7.097e-05,7.0813e-05,4.1575e-05,0.00012638,0.00010164,Ciao1
2.015e-07,2.8475e-07,4.2064e-07,1.7971e-07,2.0611e-07,Gm5335
7.5194e-07,5.1389e-07,6.3376e-07,9.0624e-07,7.745e-07,Gm12396
7.8381e-05,8.5981e-05,6.8093e-05,0.00010723,0.00010217,Smek2
6.2488e-05,0.00011943,0.00011597,4.5589e-05,8.2989e-05,Prpf8
3.7364e-05,4.1047e-05,4.0212e-05,6.2631e-05,5.9234e-05,Larp4
0.00011398,0.00013014,0.00013353,0.00016844,0.00013866,Ptgr2
9.5565e-05,0.00010256,0.00013628,2.7621e-05,0.00010153,Tmco3
0.00031284,0.00027329,0.00026139,0.00039757,0.00035814,Lxn
0.00021643,0.00020577,0.00038568,0.00023249,0.00026185,St13
1.3523e-06,1.0959e-06,2.1362e-06,1.6473e-06,1.9489e-06,Rps3a2
6.0198e-05,9.4453e-05,4.6015e-05,6.9865e-05,9.1599e-05,Me1
0.00013894,6.6868e-05,8.3116e-05,9.8162e-05,0.00016707,Nnat
1.4469e-07,2.6501e-07,1.3068e-07,2.0382e-07,1.4642e-07,Gm12403
9.4097e-07,8.9684e-07,1.8115e-06,1.1856e-06,9.6097e-07,Gm12416
6.1971e-05,9.1109e-05,8.2562e-05,9.3527e-05,5.8865e-05,Dhrs11
5.0059e-05,6.3352e-05,8.3613e-05,8.106e-05,9.1414e-05,Rpl7l1
2.7584e-06,2.7163e-06,4.1468e-06,2.8545e-06,3.2026e-06,Gm17936
5.1541e-05,7.476e-05,0.0001027,7.9944e-05,8.373e-05,Urgcp
0.00014965,0.00012836,0.00013509,7.9459e-05,0.00018541,Ddx1
0.00014304,0.00017126,0.00023098,0.00021876,0.00015561,Pex2
6.6088e-05,7.1306e-05,0.00010798,0.00010847,8.3616e-05,Pex7
0.00013851,0.00012396,8.5205e-05,0.00022157,0.00014641,Lasp1
7.6635e-05,0.00010687,6.3439e-05,8.521e-05,6.7312e-05,Mysm1
0.00016426,0.00018676,0.0002034,7.7203e-05,0.00016871,Gna11
1.1208e-05,1.2051e-05,1.7623e-05,1.0718e-05,1.3567e-05,Gm5499
8.063e-05,0.0001095,6.3856e-05,0.00010688,9.5524e-05,Tspyl1
0.00053741,0.00059713,0.00051186,0.00065381,0.00072944,Trim9
4.9421e-05,5.1823e-05,7.8059e-05,0.00012088,6.3148e-05,2700060E02Rik
0.00019539,0.00016512,0.00015643,0.00015013,0.00023849,Poldip2
4.1659e-05,6.3553e-05,8.5264e-05,5.0346e-05,7.561e-05,Wipi1
7.3957e-05,0.00013803,0.00010629,0.00010423,6.203e-05,Wipi2
8.0003e-05,7.6601e-05,7.3388e-05,0.0001382,7.4641e-05,Ncl
2.9571e-05,2.4204e-05,3.8394e-05,3.3184e-05,3.6564e-05,Ndufb2
8.9236e-05,0.00010482,9.5534e-05,9.0682e-05,0.00012838,Ndufb5
0.00018075,0.00025096,0.00024273,0.00019671,0.00019206,Ndufc2
9.7301e-05,0.00010932,9.2603e-05,0.00014346,7.6981e-05,Trp53inp2
7.5818e-05,8.5579e-05,4.3038e-05,3.928e-05,0.0001006,Nf1
0.00039694,0.00040804,0.00049645,0.00035729,0.00044698,Wbp2
6.4428e-05,8.5502e-05,0.00010951,6.1617e-05,6.1567e-05,Ubxn1
4.1127e-05,5.2167e-05,7.8916e-05,2.4119e-05,3.7828e-05,Ubxn8
0.00014047,0.00017461,0.00018789,0.00018858,0.00014799,Stard7
3.2399e-07,2.7609e-07,7.5801e-07,3.5848e-07,3.3724e-07,Gm12537
6.5282e-05,5.8608e-05,7.1079e-05,1.7524e-05,4.9392e-05,Foxn2
6.3245e-05,6.6741e-05,6.9512e-05,6.1702e-05,6.0096e-05,Foxo1
0.00016095,0.00015616,0.0005687,0.00076113,0.00062866,Il33
3.6347e-07,3.5115e-07,2.2552e-07,1.9282e-07,4.3408e-07,Gm5526
0.001051,0.0011791,0.0013832,0.00096803,0.00087529,Smpdl3a
5.3223e-06,5.4863e-06,6.348e-06,6.8548e-06,6.304e-06,Gm5560
0.00024745,0.00028963,0.00030975,0.00019895,0.00032121,Ndufv1
0.00027298,0.00031888,0.00029189,0.00025209,0.00031936,Ndufv2
0.00012558,0.00010515,0.00017154,0.00015343,0.00014473,Mat2b
2.7411e-05,3.3104e-05,5.8476e-05,2.5848e-05,2.8769e-05,Endog
7.5664e-05,8.8907e-05,8.3674e-05,0.0001041,0.00011309,Desi2
5.8357e-05,0.00010862,9.0361e-05,0.00010696,8.0942e-05,Eif2b2
0.00073636,0.00089414,0.00069676,0.00082797,0.00070576,Oaf
1.9186e-06,1.9348e-06,1.1811e-06,2.6877e-06,1.8189e-06,Tubb4b-ps1
0.00012987,0.00022873,0.00016175,0.00022292,0.00018216,Pcdh1
0.0012274,0.0015082,0.0014125,0.00135,0.0010798,Kcnk1
0.0003313,0.00037277,0.00041539,0.00038193,0.00031587,Kcnn2
5.7696e-06,5.494e-06,1.166e-05,5.6934e-06,8.5555e-06,Gm12669
9.7383e-05,0.00011225,0.00016857,8.8521e-05,6.9595e-05,Xrcc6
8.5376e-05,8.828e-05,8.7925e-05,0.00012567,0.00012914,Exoc7
2.3604e-05,2.4583e-05,2.7435e-05,2.3587e-05,3.1389e-05,Lamtor4
0.00011952,0.00015793,0.00018962,0.00010322,0.00011541,Lamtor5
0.00058728,0.00071252,0.00067079,0.00066632,0.0005133,Pmp22
0.00020473,0.00024285,0.0002471,0.00025116,0.00015607,Pamr1
0.00014993,0.00023344,0.00016178,9.4013e-05,0.00017633,Sun1
0.00033789,0.00035237,0.00018199,0.00033631,0.00030848,Nptn
0.0002312,0.00024969,0.00031485,0.00026068,0.00026377,Atp6v1b2
6.5746e-05,8.5881e-05,8.361e-05,5.1892e-05,4.9765e-05,Med28
0.00014795,0.00026164,0.00028578,0.00019134,0.00014502,Ilf3
1.788e-05,4.8028e-05,3.5559e-05,2.2033e-05,2.4268e-05,Eif3j1
2.4454e-06,5.9121e-06,5.222e-06,2.193e-06,2.3543e-06,Eif3j2
0.00043183,0.00043418,0.00040799,0.00046069,0.00042721,Slitrk2
0.00014566,0.00015423,0.00014845,0.00014841,0.00016402,Atp6v1g1
0.00013405,0.00015876,9.6897e-05,0.00013882,0.0001605,Phkb
2.6806e-05,2.6979e-05,3.042e-05,3.2915e-05,3.1856e-05,Gm12715
7.2034e-05,9.2455e-05,0.00012735,7.6961e-05,6.1468e-05,Mapre3
0.00070891,0.00082233,0.00086987,0.00087932,0.00075194,Pkm
9.4114e-05,7.3338e-05,6.3436e-05,7.3099e-05,0.00012278,Bpgm
0.00022129,0.00024612,0.00046239,0.00016494,0.0002936,Lonp2
0.00065757,0.00085513,0.00068431,0.00065696,0.00055773,Por
7.6633e-05,0.00010352,0.00015458,9.9436e-05,7.5177e-05,Guk1
3.6507e-05,3.784e-05,2.8927e-05,2.9104e-05,4.1593e-05,Smim4
9.7943e-05,0.00012642,0.00011508,0.00010611,0.00012554,Matr3
0.00020124,0.00018284,0.00017919,0.00010239,0.00022239,Ociad1
3.7714e-05,3.491e-05,3.9125e-05,3.854e-05,6.347e-05,Tmsb4x
0.00012871,0.00013663,0.00017414,0.00010178,0.00013492,Swap70
0.00013552,0.00012666,0.00012427,8.2213e-05,0.00017106,Pid1
8.2676e-05,0.00011142,8.6628e-05,0.00014118,8.0557e-05,Pigc
9.5462e-05,0.00018856,0.00016301,0.00011507,0.00013417,Vps11
5.7331e-05,0.0001215,6.5958e-05,5.7719e-05,5.7384e-05,Pigk
0.00011466,0.00017945,0.00016405,0.00016439,0.00013363,Pigu
0.00011513,0.00016972,0.00014275,0.00011367,0.00012044,Stoml1
0.00019083,0.000143,0.00012876,0.00010626,0.00021958,Cdc16
2.5063e-05,2.9971e-05,2.6029e-05,2.1599e-05,3.2912e-05,Cdc26
0.00045356,0.00049841,0.00047899,0.00037142,0.0006047,Cyp2d22
0.00019204,0.0001568,0.00033852,0.0002193,0.00021128,Immt
